Date,Open,High,Low,Close,Volume,AdjClose
2014-12-31,40.75,40.82,40.099998,40.130001,7211900,39.474441
2014-12-30,40.57,40.869999,40.549999,40.720001,5760200,40.054803
2014-12-29,40.580002,40.900002,40.400002,40.709999,7399000,40.044964
2014-12-26,40.529999,40.950001,40.50,40.700001,4887400,40.035129
2014-12-24,40.470001,40.830002,40.439999,40.540001,5529500,39.877743
2014-12-23,39.939999,40.599998,39.93,40.360001,9657800,39.700683
2014-12-22,39.98,40.41,39.52,39.799999,10822400,39.14983
2014-12-19,39.779999,40.259998,39.68,39.900002,18596600,39.248199
2014-12-18,39.09,39.84,38.959999,39.82,12488500,39.169504
2014-12-17,38.040001,38.759998,37.91,38.650002,11525600,38.018619
2014-12-16,37.220001,38.310001,37.110001,37.32,11411400,36.710344
2014-12-15,38.049999,38.240002,37.41,37.610001,12441200,36.995607
2014-12-12,38.209999,38.580002,37.869999,38.009998,13326900,37.389071
2014-12-11,37.299999,38.900002,37.299999,38.470001,12335700,37.841559
2014-12-10,37.549999,38.189999,37.279999,37.360001,13757600,36.749691
2014-12-09,37.540001,38.369999,37.34,38.200001,10551000,37.575969
2014-12-08,38.75,38.900002,38.110001,38.459999,12074000,37.83172
2014-12-05,39.110001,39.650002,39.02,39.549999,8968600,38.746527
2014-12-04,39.049999,39.25,38.68,39.07,7467200,38.276279
2014-12-03,38.779999,39.34,38.77,39.049999,11076500,38.256685
2014-12-02,38.349998,39.330002,38.09,38.950001,9658100,38.158718
2014-12-01,38.50,39.169998,38.439999,38.560001,14106400,37.776641
2014-11-28,38.75,39.580002,38.650002,39.060001,7701500,38.266484
2014-11-26,37.380001,39.279999,37.25,39.16,25825900,38.364451
2014-11-25,37.50,38.25,37.50,37.630001,19081100,36.865534
2014-11-24,37.540001,37.799999,37.330002,37.50,10871300,36.738174
2014-11-21,37.27,37.450001,36.91,37.259998,13061000,36.503048
2014-11-20,37.02,37.25,36.830002,36.93,7351100,36.179754
2014-11-19,37.509998,37.52,37.09,37.18,5519600,36.424676
2014-11-18,37.630001,37.799999,37.459999,37.50,5985300,36.738174
2014-11-17,36.720001,37.50,36.720001,37.41,8397500,36.650003
2014-11-14,36.439999,37.060001,36.43,36.919998,6335800,36.169956
2014-11-13,36.599998,36.77,36.220001,36.360001,7679000,35.621335
2014-11-12,36.66,36.869999,36.48,36.509998,6297900,35.768285
2014-11-11,36.900002,37.049999,36.540001,36.759998,7138800,36.013206
2014-11-10,36.52,37.049999,36.50,36.900002,9578500,36.150365
2014-11-07,36.259998,36.419998,36.02,36.380001,8997200,35.640929
2014-11-06,36.029999,36.419998,35.990002,36.150002,6993100,35.415602
2014-11-05,36.169998,36.330002,35.860001,36.18,7441300,35.444991
2014-11-04,35.990002,36.400002,35.779999,35.900002,10210900,35.17068
2014-11-03,36.029999,36.150002,35.77,35.860001,12497000,35.131492
2014-10-31,35.75,35.950001,35.48,35.880001,20048000,35.151086
2014-10-30,35.560001,35.77,35.209999,35.32,14134400,34.602462
2014-10-29,35.529999,36.00,35.040001,35.380001,13955900,34.661244
2014-10-28,35.419998,35.77,35.380001,35.540001,12514800,34.817993
2014-10-27,34.950001,35.41,34.799999,35.299999,10092300,34.582867
2014-10-24,35.00,35.419998,34.740002,34.93,12670400,34.220385
2014-10-23,34.73,35.209999,34.709999,34.939999,10046800,34.23018
2014-10-22,34.73,34.900002,34.450001,34.490002,13381400,33.789325
2014-10-21,34.27,34.82,34.18,34.740002,12050200,34.034246
2014-10-20,33.02,33.959999,32.98,33.82,14209500,33.132935
2014-10-17,34.259998,34.48,33.790001,34.16,15444300,33.466028
2014-10-16,31.75,34.169998,31.709999,34.00,23421200,33.309278
2014-10-15,32.599998,33.119999,31.620001,32.799999,19921000,32.133656
2014-10-14,32.689999,32.98,32.150002,32.240002,13079200,31.585035
2014-10-13,33.220001,33.380001,32.23,32.689999,20026900,32.02589
2014-10-10,34.200001,34.509998,33.48,33.50,14382200,32.819436
2014-10-09,35.790001,35.860001,34.27,34.32,13984900,33.622777
2014-10-08,34.889999,36.029999,34.700001,35.919998,17112700,35.190271
2014-10-07,36.509998,36.860001,35.139999,35.220001,22754600,34.504495
2014-10-06,37.099998,37.529999,36.529999,36.869999,55748900,36.120972
2014-10-03,34.66,35.279999,34.66,35.200001,9258400,34.4849
2014-10-02,34.610001,34.790001,33.93,34.509998,9424900,33.808916
2014-10-01,35.389999,35.400002,34.400002,34.549999,13529400,33.848104
2014-09-30,35.189999,35.650002,35.060001,35.470001,10730700,34.749416
2014-09-29,35.049999,35.139999,34.630001,34.970001,9152000,34.259573
2014-09-26,35.23,35.50,35.029999,35.369999,9727400,34.651445
2014-09-25,35.98,35.990002,35.169998,35.27,8333700,34.553478
2014-09-24,35.77,36.00,35.310001,35.950001,11722600,35.219664
2014-09-23,36.299999,36.580002,35.779999,35.790001,10926200,35.062915
2014-09-22,37.189999,37.189999,36.389999,36.470001,6723100,35.7291
2014-09-19,37.169998,37.380001,36.720001,36.790001,11746800,36.042599
2014-09-18,36.630001,37.099998,36.59,37.009998,7840200,36.258127
2014-09-17,36.330002,36.869999,36.27,36.669998,8730000,35.925034
2014-09-16,36.240002,36.330002,36.009998,36.259998,7657200,35.523364
2014-09-15,36.540001,36.549999,36.130001,36.25,7274300,35.513569
2014-09-12,36.759998,36.849998,36.50,36.560001,7634100,35.817272
2014-09-11,37.00,37.029999,36.52,36.759998,8032700,36.013206
2014-09-10,36.93,37.07,36.75,37.029999,7857700,36.277721
2014-09-09,37.119999,37.150002,36.630001,36.790001,10295000,36.042599
2014-09-08,37.25,37.470001,37.110001,37.279999,7366700,36.522643
2014-09-05,37.59,37.66,37.169998,37.580002,11257300,36.659802
2014-09-04,38.049999,38.25,37.48,37.66,8634600,36.737841
2014-09-03,38.130001,38.25,38.040001,38.07,6854500,37.137802
2014-09-02,38.00,38.07,37.66,38.049999,7224400,37.118291
2014-08-29,38.029999,38.18,37.82,38.00,6211900,37.069516
2014-08-28,37.900002,38.09,37.599998,37.990002,6971600,37.059762
2014-08-27,37.799999,38.200001,37.540001,38.16,9715500,37.225598
2014-08-26,37.240002,38.130001,37.110001,37.830002,13922300,36.90368
2014-08-25,36.990002,37.360001,36.779999,37.150002,10954900,36.240331
2014-08-22,36.849998,37.07,36.650002,36.84,14398700,35.93792
2014-08-21,35.389999,37.400002,35.27,37.00,39516000,36.094002
2014-08-20,35.720001,35.720001,34.869999,35.119999,18762100,34.260036
2014-08-19,35.509998,35.77,35.290001,35.48,8787200,34.611221
2014-08-18,35.509998,35.540001,35.220001,35.34,9582800,34.47465
2014-08-15,35.73,35.75,34.91,35.07,11510500,34.211261
2014-08-14,35.299999,35.619999,34.959999,35.59,9824200,34.718528
2014-08-13,35.259998,35.43,35.049999,35.299999,6787200,34.435629
2014-08-12,35.279999,35.330002,34.860001,35.119999,4844500,34.260036
2014-08-11,35.43,35.529999,35.119999,35.200001,5976000,34.338079
2014-08-08,34.77,35.220001,34.630001,35.169998,5649000,34.308811
2014-08-07,35.220001,35.380001,34.66,34.82,6438200,33.967382
2014-08-06,34.669998,35.279999,34.450001,35.040001,6112100,34.181997
2014-08-05,35.110001,35.330002,34.82,35.07,5641100,34.211261
2014-08-04,35.279999,35.450001,35.00,35.330002,6478400,34.464896
2014-08-01,35.330002,35.43,34.470001,35.189999,11871500,34.328321
2014-07-31,35.73,35.860001,35.450001,35.610001,10709200,34.738039
2014-07-30,36.00,36.200001,35.84,36.110001,9724200,35.225796
2014-07-29,35.709999,36.209999,35.599998,35.939999,12212800,35.059957
2014-07-28,35.400002,35.610001,35.25,35.599998,6787200,34.728282
2014-07-25,34.759998,35.57,34.669998,35.43,8215400,34.562446
2014-07-24,35.130001,35.18,34.869999,35.040001,7584800,34.181997
2014-07-23,35.169998,35.349998,34.98,34.98,6425900,34.123464
2014-07-22,34.549999,35.290001,34.52,35.150002,8166100,34.289304
2014-07-21,34.779999,34.84,34.389999,34.52,7301200,33.674729
2014-07-18,34.52,34.84,34.439999,34.810001,10370800,33.957629
2014-07-17,34.689999,34.689999,34.330002,34.43,13630200,33.586933
2014-07-16,34.419998,35.119999,34.419998,34.82,19258800,33.967382
2014-07-15,34.349998,34.470001,34.00,34.150002,7717900,33.31379
2014-07-14,34.200001,34.34,34.009998,34.150002,10877500,33.31379
2014-07-11,33.93,34.18,33.889999,33.970001,6458900,33.138197
2014-07-10,33.439999,34.009998,33.240002,33.849998,8630400,33.021133
2014-07-09,33.549999,33.790001,33.509998,33.650002,5683500,32.826033
2014-07-08,33.880001,33.93,33.43,33.50,7179700,32.679705
2014-07-07,33.91,34.00,33.669998,33.869999,6907100,33.040644
2014-07-03,34.040001,34.119999,33.919998,34.00,4860500,33.167462
2014-07-02,34.209999,34.240002,33.860001,33.880001,8961200,33.050401
2014-07-01,33.93,34.419998,33.68,34.18,8635000,33.343054
2014-06-30,33.889999,34.02,33.639999,33.68,7081800,32.855298
2014-06-27,33.869999,34.02,33.669998,33.91,9116000,33.079665
2014-06-26,33.759998,33.950001,33.580002,33.91,6577800,33.079665
2014-06-25,33.849998,33.849998,33.450001,33.59,10121500,32.767501
2014-06-24,34.540001,34.57,33.93,33.950001,9885500,33.118687
2014-06-23,34.380001,34.540001,34.009998,34.52,8209500,33.674729
2014-06-20,34.529999,34.549999,34.209999,34.220001,10980200,33.382076
2014-06-19,34.689999,34.799999,34.34,34.48,5966200,33.635708
2014-06-18,34.939999,34.98,34.41,34.709999,6353200,33.860075
2014-06-17,34.900002,35.07,34.720001,34.91,6945100,34.055179
2014-06-16,35.060001,35.060001,34.630001,34.900002,10025300,34.045425
2014-06-13,34.00,35.200001,33.810001,35.16,22186500,34.299057
2014-06-12,33.740002,34.299999,33.290001,33.389999,12562500,32.572398
2014-06-11,33.459999,33.630001,33.139999,33.25,5715000,32.435826
2014-06-10,33.630001,33.84,33.48,33.610001,4694500,32.787012
2014-06-09,33.689999,33.919998,33.450001,33.740002,6783000,32.91383
2014-06-06,33.84,33.990002,33.77,33.84,5985200,32.855298
2014-06-05,33.709999,33.900002,33.560001,33.869999,6225100,32.884424
2014-06-04,33.549999,33.869999,33.459999,33.759998,5664500,32.777625
2014-06-03,33.419998,33.810001,33.23,33.689999,8078100,32.709662
2014-06-02,33.369999,33.639999,33.049999,33.43,10206200,32.457229
2014-05-30,33.560001,33.799999,33.360001,33.50,12427900,32.525192
2014-05-29,33.419998,33.830002,33.330002,33.639999,9858000,32.661117
2014-05-28,33.049999,33.580002,33.00,33.349998,9502700,32.379555
2014-05-27,33.50,33.650002,32.799999,33.099998,20948600,32.13683
2014-05-23,32.310001,34.09,32.240002,33.720001,40760000,32.738791
2014-05-22,32.450001,33.360001,31.209999,31.780001,32458800,30.855242
2014-05-21,32.98,33.09,32.380001,32.52,10259300,31.573709
2014-05-20,33.139999,33.240002,32.689999,32.799999,8765900,31.84556
