Date,Open,High,Low,Close,Volume,Adj Close
1989-12-15,329.369995,329.869995,324.149994,329.119995,480780000,164.559998
1989-12-14,331.140015,331.140015,328.410004,329.350006,357400000,164.675003
1989-12-13,330.630005,332.76001,330.299988,331.23999,369320000,165.619995
1989-12-12,327.200012,331.109985,327.130005,330.670013,353640000,165.335007
1989-12-11,326.899994,327.23999,325.01001,327.200012,294260000,163.600006
1989-12-08,325.859985,327.829987,325.850006,326.899994,289820000,163.449997
1989-12-07,325.929993,327.75,324.119995,325.850006,323960000,162.925003
1989-12-06,326.589996,327.230011,325.170013,325.929993,291700000,162.964996
1989-12-05,328.220001,329.279999,326.579987,326.589996,309280000,163.294998
1989-12-04,327.630005,328.329987,326.850006,328.23999,300720000,164.119995
1989-12-01,322.859985,329.089996,322.829987,327.630005,398400000,163.815002
1989-11-30,320.420013,323.459991,320.420013,322.829987,306400000,161.414993
1989-11-29,322.98999,322.98999,320.079987,320.440002,294540000,160.220001
1989-11-28,322.660004,323.720001,321.630005,322.98999,307540000,161.494995
1989-11-27,321.420013,323.329987,321.380005,322.670013,298780000,161.335007
1989-11-24,319.769989,322.019989,319.73999,321.410004,172580000,160.705002
1989-11-22,317.640015,319.850006,317.640015,319.769989,291460000,159.884995
1989-11-21,316.959991,317.839996,315.269989,317.640015,295800000,158.820007
1989-11-20,319.420013,319.420013,315.75,316.959991,256340000,158.479996
1989-11-17,316.779999,319.420013,316.00,319.420013,302040000,159.710007
1989-11-16,316.519989,316.950012,315.00,316.779999,296740000,158.389999
1989-11-15,314.309998,316.529999,313.380005,316.519989,310260000,158.259995
1989-11-14,315.820007,316.630005,313.279999,314.290009,286340000,157.145004
1989-11-13,315.98999,316.920013,314.480011,315.820007,281500000,157.910004
1989-11-10,313.690002,315.950012,313.690002,315.950012,263600000,157.975006
1989-11-09,315.279999,315.869995,313.220001,313.690002,286780000,156.845001
1989-11-08,312.399994,316.890015,312.399994,315.279999,340300000,157.639999
1989-11-07,310.079987,312.399994,308.329987,312.399994,326000000,156.199997
1989-11-06,314.619995,314.640015,309.779999,310.079987,270960000,155.039993
1989-11-03,315.519989,316.809998,314.320007,314.640015,263000000,157.320007
1989-11-02,318.329987,318.329987,313.450012,315.519989,304880000,157.759995
1989-11-01,317.980011,318.980011,316.839996,318.329987,308480000,159.164993
1989-10-31,313.119995,318.929993,313.049988,317.980011,352200000,158.990005
1989-10-30,313.450012,315.369995,312.609985,313.100006,253260000,156.550003
1989-10-27,315.929993,315.929993,311.420013,313.380005,340660000,156.690002
1989-10-26,320.299988,320.299988,315.070007,315.929993,350480000,157.964996
1989-10-25,321.619995,322.50,319.890015,320.299988,311300000,160.149994
1989-10-24,322.089996,322.230011,313.059998,321.640015,475920000,160.820007
1989-10-23,324.279999,325.220001,321.480011,322.089996,271720000,161.044998
1989-10-20,323.630005,324.359985,321.00,324.350006,329660000,162.175003
1989-10-19,318.019989,325.350006,317.98999,323.570007,396240000,161.785004
1989-10-18,317.579987,319.670013,315.380005,317.98999,333800000,158.994995
1989-10-17,319.73999,319.940002,312.209991,317.579987,448140000,158.789993
1989-10-16,309.859985,319.940002,304.130005,319.940002,832580000,159.970001
1989-10-13,330.76001,331.140015,308.549988,309.859985,502340000,154.929993
1989-10-12,332.029999,332.029999,330.290009,330.76001,320240000,165.380005
1989-10-11,333.799988,333.799988,331.279999,332.029999,328140000,166.014999
1989-10-10,334.649994,335.230011,333.059998,333.799988,295120000,166.899994
1989-10-09,333.540009,334.649994,332.73999,334.649994,173620000,167.324997
1989-10-06,331.940002,333.850006,331.940002,333.549988,345040000,166.774994
1989-10-05,332.630005,333.170013,331.079987,331.940002,355780000,165.970001
1989-10-04,331.040009,333.369995,330.769989,332.630005,389180000,166.315002
1989-10-03,327.160004,331.119995,327.160004,331.049988,365100000,165.524994
1989-10-02,325.160004,327.399994,324.640015,327.160004,254820000,163.580002
1989-09-29,325.470001,326.970001,324.220001,325.160004,310600000,162.580002
